Refs,Qty,Value,Manufacturer,MPN,Footprint,Description,Notes
C1 C2 C7 C8,4,22u,,,C_0805_2012Metric,,10V
C3 C10 C12 C15 C17,5,100n,,,C_0402_1005Metric,,
C4 C16 C23,3,10u,,,C_0603_1608Metric,,
C5,1,1n,,,C_0402_1005Metric,,
C6 C9 C11,3,4.7u,,,C_0603_1608Metric,,
C13 C14,2,12p,,,C_0402_1005Metric,,
C18 C19 C20 C21 C22,5,1u,,,C_0402_1005Metric,,
D1,1,SML-LX0404SIUPGUSB,Lumex,SML-LX0404SIUPGUSB,LED_Lumex_SML-LX0404SIUPGUSB,"RGB LED 1.0x1.0 mm, common anode",
J1,1,TC2030-NL,,,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,"nRF SWD (Tag-Connect, no legs)",
J2,1,SPK,,,Pads_2x_1.2x1.6mm_P2.5mm,"Speaker solder pads (wire-lead micro speaker, see BOM)",
J3,1,LRA,,,Pads_2x_1.2x1.6mm_P2.5mm,LRA solder pads (Vybronics VG1040003D),
J4,1,CAMERA,Hirose,FH12-20S-0.5SH(55),Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,"Camera FPC, Luckfox 20P pinout",
J5,1,TO_PWR,Hirose,FH12-30S-0.5SH(55),Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,Inter-board FFC (bottom side),
MK1,1,IM69D130V01,Infineon,IM69D130V01XTSA1,Infineon_PG-LLGA-5-1,"PDM MEMS mic, bottom port",
MK2,1,IM73A135V01,Infineon,IM73A135V01XTSA1,Infineon_PG-LLGA-5-2,"Analog MEMS mic, bottom port",
R1,1,10k,,,R_0402_1005Metric,,
R2,0,100k,,,R_0402_1005Metric,,DNP 
R3 R10,2,100k,,,R_0402_1005Metric,,
R4 R5 R12 R13,4,4.7k,,,R_0402_1005Metric,,
R6,1,680,,,R_0402_1005Metric,,
R7 R8,2,270,,,R_0402_1005Metric,,
R9,1,1M,,,R_0402_1005Metric,,
R11 R14,2,100,,,R_0402_1005Metric,,
TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10,10,TestPoint,,pad,TestPoint_Pad_D1.0mm,,
U1,1,Core11061408,Luckfox,Core11061408,Core1106-SMT-Cutout,"RV1106G3 SoM, 256 MB DDR3L, 8 GB eMMC, WiFi6/BT5.2, 30x30 stamp-hole",
U2,1,TPS22917DBVR,TI,TPS22917DBVR,SOT-23-6,"SoC rail load switch, 2 A",
U3,1,MDBT50Q-1MV2,Raytac,MDBT50Q-1MV2,Raytac_MDBT50Q,"nRF52840 module, chip antenna",
U4,1,MAX98357AETE+T,Analog Devices,MAX98357AETE+T,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,I2S class-D mono amp,
U5,1,DRV2605LDGSR,TI,DRV2605LDGSR,TSSOP-10_3x3mm_P0.5mm,LRA haptic driver,
Y1,1,32.768k,ECS,ECS-.327-7-12-TR,Crystal_SMD_2012-2Pin_2.0x1.2mm,"32.768 kHz, CL 7 pF",
