Refs,Qty,Value,Manufacturer,MPN,Footprint,Description,Notes
C1,1,4.7u,,,C_0603_1608Metric,,16V
C2 C3 C4,3,10u,,,C_0603_1608Metric,,
C5 C6 C9 C15 C16 C17 C18 C22,8,100n,,,C_0402_1005Metric,,
C7 C8,2,47u,,,C_0805_2012Metric,,6.3V
C10 C19 C20 C21,4,33p,,,C_0402_1005Metric,,
C11,1,10p,,,C_0402_1005Metric,,
C12,1,1u,,,C_0402_1005Metric,,
C13 C14,0,DNP,,,C_0402_1005Metric,,DNP 
C23,1,22n,,,C_0402_1005Metric,,Cs; tune for electrode size
D1,1,SMF5.0A,Littelfuse,SMF5.0A,D_SOD-123F,VBAT TVS (Quectel recommendation),
J1,1,USB-C,GCT,USB4105-GF-A,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,"USB-C receptacle, USB 2.0, top mount",
J2,1,BATTERY,JST,SM02B-GHS-TB,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,"1S LiPo, polarity per Pneuma harness: pin1 = +",
J3,1,U.FL,Hirose,U.FL-R-SMT-1(10),U.FL_Hirose_U.FL-R-SMT-1_Vertical,LTE antenna,
J4,1,nanoSIM,GCT,SIM8060-6-0-14-00-A,nanoSIM_GCT_SIM8060-6-0-14-00,"Hinged nano-SIM, no detect",
J5,1,TO_MAIN,Hirose,FH12-30S-0.5SH(55),Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,Inter-board FFC (top side),
Q1 Q2,2,2N7002,Nexperia,2N7002,SOT-23,,
R1 R2,2,5.1k,,,R_0402_1005Metric,,
R3,1,10k,,,R_0402_1005Metric,,fixed 10k = 25 C; replace with pack NTC if the cell has one
R4,1,1.33k,,,R_0402_1005Metric,,IIN max = 1610/1330 = 1.21 A
R5,1,3.3k,,,R_0402_1005Metric,,ICHG = 890/3300 = 270 mA (~0.5C for a 550 mAh cell)
R6 R7 R8 R10 R11 R12,6,100k,,,R_0402_1005Metric,,
R9,1,150k,,,R_0402_1005Metric,,
R13,1,1k,,,R_0402_1005Metric,,
R14 R15,2,0,,,R_0402_1005Metric,,pi-match series; tune on the real antenna
R16 R17 R18,3,22,,,R_0402_1005Metric,,
R19,1,15k,,,R_0402_1005Metric,,
R20,1,4.7k,,,R_0402_1005Metric,,
TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11 TP12,12,TestPoint,,pad,TestPoint_Pad_D1.0mm,,
TP13,1,TOUCH_E,,,SpringPad_3.0x2.0mm,Touch electrode spring-contact pad,
U1,1,USBLC6-2P6,ST,USBLC6-2P6,SOT-666,"USB ESD (SOT-666, 0.6 mm)",
U2,1,BQ24074RGTR,TI,BQ24074RGTR,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1S Li-ion charger + power path. OUT(=VSYS) regulates to 4.4 V: modem stays on VBAT,
U3,1,LC709203FQH-01TWG,onsemi,LC709203FQH-01TWG,WDFN-8-1EP_4x3mm_P0.65mm_EP2.4x1.8mm,"Fuel gauge (I2C 0x0B), owned by nRF",
U4,1,FSUSB42MUX,onsemi,FSUSB42MUX,MSOP-10_3x3mm_P0.5mm,"SoC USB -> USB-C (SEL=0, default/dev) or modem (SEL=1)",
U5,1,EG800Q-NA,Quectel,EG800Q-NA,Quectel_EG800Q_LGA-109,"LTE Cat-1 bis, B2/4/5/12/13/66, LGA-109 15.8x17.7x2.4",
U6 U7,2,TXB0104RGYR,TI,TXB0104RGYR,Texas_S-PVQFN-N14,Modem UART <-> SoC; VCCB from SoC 3V3 so it is fully off when the SoC is off,
U8,1,ESDA6V1-5SC6,ST,ESDA6V1-5SC6,SOT-23-6,SIM ESD,
U9,1,AT42QT1011-MAH,Microchip,AT42QT1011-MAH,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm,"1-key capacitive touch, UDFN-8 2x2",
